MinTemp,MaxTemp,Lluvia,Evaporacion,Sol,VelRafaga,Vel9am,Vel3pm,Hum9am,Hum3pm,Pres9am,Pre3pm,Nub9am,Nub3pm,Temp9am,Temp3pm,LluviaHoy,LluviaMan,Koppen,Estacion
15.1,39.1,0,10.8,13.2,41,11,15,29,19,1009,1008.6,2,3,27.5,33.4,No,No,Temperate,Verano
7.9,15.1,1.6,3,6.7,35,17,19,78,56,1021.6,1020.3,1,7,10.5,13.8,Yes,No,Temperate,Invierno
15.7,27.2,0,5.6,10.9,44,11,11,64,54,1012.3,1008.6,1,1,21.2,25.8,No,Yes,Subtropical,Otoño
3.3,14.9,0.6,3.2,3.1,28,15,19,79,73,1027.5,1026.4,5,7,11.5,12.8,No,No,Temperate,Primavera
18.5,28,0,8.6,10.8,61,24,37,43,31,1005.1,1003.2,1,5,21.7,26.5,No,No,Subtropical,Otoño
8.7,14.5,0.6,2.4,5.8,35,9,17,68,50,1027.9,1026.8,5,6,12,13.4,No,No,Temperate,Otoño
24.1,30.5,40.6,3.4,3.5,50,15,19,79,80,1006.2,1004.1,7,8,29.5,29.3,Yes,Yes,Temperate,Verano
14.5,26.9,0,5.4,6,33,20,20,60,46,1019.4,1015.2,7,5,17.6,26.3,No,No,Subtropical,Primavera
-1.2,14.9,0,0.6,9.2,20,9,11,85,55,1033.6,1029.8,0,1,3.5,14.1,No,No,Temperate,Invierno
9.3,19.4,0,3.4,2.3,28,7,9,87,84,1022.9,1021.6,7,8,13.5,17.9,No,Yes,Temperate,Otoño
24.7,30.7,0.6,7.2,1.1,43,20,20,87,93,1013.1,1011,7,8,26.1,25.5,No,Yes,Temperate,Otoño
20.7,29.1,0,5.4,8.2,50,9,33,76,57,1019.4,1014.9,1,5,23.4,27.6,No,No,Subtropical,Otoño
13.6,17.3,17.6,1,6.5,57,28,30,79,62,1008.5,1008.6,6,7,16.6,16.2,Yes,No,Temperate,Otoño
16.8,30.6,0,12.8,12.5,39,28,19,16,9,1015.1,1011.3,5,1,23.3,28.9,No,No,Desert,Verano
14.3,23,0,5.4,8.9,37,20,11,48,30,1023.7,1021.6,5,3,17.3,21.2,No,No,Subtropical,Otoño
10.2,17.7,0,4,9.8,52,35,26,81,45,1018.5,1019.8,7,2,10.8,16.3,No,No,Temperate,Primavera
21,23.8,3,10,0.1,39,15,28,76,91,1014.3,1016.2,7,8,22.2,15.6,Yes,Yes,Temperate,Otoño
9.2,16.3,8.8,1.2,9.7,50,30,28,83,55,1012.8,1012.1,3,3,12.4,16.2,Yes,No,Temperate,Invierno
18.2,28.4,0,3.2,8,20,6,9,65,58,1015.4,1012.8,1,4,23.7,25.8,No,No,Subtropical,Otoño
22.4,30.9,0,7,6.3,26,6,13,56,57,1015.2,1013.7,6,6,27.9,28.8,No,No,Subtropical,Verano
-1.7,18.8,0,3.6,10.4,31,7,17,50,19,1023.5,1020.5,0,0,7.4,18.1,No,No,Grassland,Invierno
21.7,39.4,0,16.8,13.5,35,24,15,20,6,1014.2,1011.9,0,0,27.8,38.2,No,No,Desert,Verano
22.1,28.4,0.4,7.8,6.9,31,13,13,58,57,1013.1,1010.8,3,5,27.2,27.1,No,No,Subtropical,Verano
8.3,15.7,0.6,1,8.1,22,7,2,84,60,1019.4,1016.8,1,5,10.2,14.5,No,No,Temperate,Otoño
15.9,25.2,0,7.2,9.9,46,17,28,54,41,1021.8,1018.8,1,2,21.2,23.8,No,No,Temperate,Invierno
17.2,28.7,0,6,7.6,41,9,33,67,52,1017.9,1014.6,6,5,23.9,27.2,No,No,Temperate,Otoño
7.1,11.7,4,2.2,1.7,48,20,15,96,94,1015.6,1014.6,8,7,7.5,11.2,Yes,Yes,Temperate,Invierno
25.9,30.9,6.4,4.2,10.3,52,20,22,70,67,1001.6,997.6,7,4,28.9,30.6,Yes,No,Temperate,Otoño
20.5,25.5,16,4.8,0.3,63,20,28,81,65,1003,1004.4,7,7,22.2,24.2,Yes,No,Subtropical,Verano
14.7,30.2,0,6,12.7,39,9,22,68,42,1018.7,1015.3,1,3,19.3,28.8,No,No,Temperate,Verano
15.7,19.4,0.4,4,3.2,37,15,15,50,51,1024.4,1022.8,7,7,17.7,17.7,No,No,Subtropical,Invierno
16.5,24.6,1,3.4,9.9,33,2,19,66,51,1026.4,1021.8,6,5,21.3,24.2,No,No,Subtropical,Otoño
20.5,33.4,0,6.8,11,41,15,19,72,20,1015.7,1011.5,0,0,23.7,32.9,No,No,Temperate,Invierno
14.6,25.2,0,14,11.6,48,30,26,52,18,1022.2,1021.7,3,0,15.5,23.7,No,No,Grassland,Primavera
8.1,17.9,1,1.6,9.2,31,15,13,71,59,1030.4,1028.2,1,1,15.1,17.3,No,No,Subtropical,Invierno
8.9,21.6,0,4.6,10.3,46,7,19,63,32,1016.2,1014.9,6,3,14.1,20.9,No,No,Temperate,Primavera
3.9,19.9,0,0.8,9.2,48,11,19,88,59,1023.8,1015.7,2,6,9,18.9,No,Yes,Temperate,Otoño
18.3,23.1,0.4,6.2,7.5,41,20,15,70,53,1002.5,1005.2,5,7,20.1,21.5,No,No,Subtropical,Verano
10.7,28.2,0,8,13.5,46,17,17,59,24,1015.8,1012.6,7,1,15.9,25.4,No,No,Grassland,Verano
13.9,21.2,0.4,6.4,4.7,41,22,22,62,65,1016.3,1016.6,5,8,18.2,19.5,No,No,Temperate,Otoño
16.3,31.2,0,8,1.7,65,6,17,55,21,1006.9,1003.2,8,7,21.5,28.8,No,No,Temperate,Primavera
0.5,13.4,0,2.4,7.9,28,2,15,100,69,1016.7,1013,7,6,3.5,11.3,No,Yes,Temperate,Invierno
26.2,33.7,0,9.6,9.3,31,17,19,66,54,1013.9,1010.3,5,5,30.4,31.8,No,No,Temperate,Verano
27.5,31.5,0,6.2,11.4,39,20,28,72,73,1010.4,1007.2,2,4,30.2,30.7,No,No,Temperate,Verano
16.2,28.1,1,9.6,9.2,43,15,19,69,43,1018.3,1014.3,5,1,18.7,27.3,No,No,Subtropical,Otoño
7.5,11.9,4,0.6,6,39,17,28,77,54,1020.6,1021.5,7,6,10,10.8,Yes,No,Temperate,Primavera
21.4,28.2,0,8.2,12.5,22,7,7,56,47,1019.2,1016.3,4,1,25.8,27.2,No,No,Subtropical,Primavera
11.9,23.7,0,4.6,12.2,50,11,37,48,44,1024.2,1019.2,1,1,19.1,21.4,No,No,Subtropical,Primavera
12.6,21.7,0.8,2.2,6.1,24,15,11,77,53,1030.2,1027.3,5,3,14.3,20.4,No,No,Temperate,Otoño
8.2,16,0,2.2,0.6,22,4,6,50,34,1020.7,1018.6,6,6,12.2,15.9,No,No,Subtropical,Invierno
16,28,0,7.2,5.5,30,6,13,82,61,1015.3,1011.9,8,1,17.8,26.3,No,No,Temperate,Verano
11.3,25.6,0,4.4,10.3,24,4,11,63,60,1018.6,1013.1,1,1,19.9,23.7,No,No,Subtropical,Invierno
22.2,40,0,10.6,12,22,13,7,38,12,1011.4,1009.4,0,2,28.9,39,No,No,Grassland,Verano
20.2,23.4,0.8,2.6,0.9,24,15,9,82,87,1013,1010.3,7,7,22.3,22.7,No,Yes,Subtropical,Otoño
20.2,32.1,0,8.4,11,48,17,30,77,38,1016.1,1011.9,2,1,24.9,31.2,No,No,Temperate,Invierno
5.8,30.7,0,7.8,11.6,48,11,4,23,4,1018.4,1012.8,0,0,19.6,29.9,No,No,Subtropical,Primavera
12,28.5,0,8,10.6,35,13,22,20,24,1022.2,1020.2,1,6,23.5,26.8,No,No,Temperate,Otoño
20.5,22.4,0,5,0.3,56,28,30,74,74,1009.5,1007,7,7,21.2,21.3,No,No,Subtropical,Otoño
13,27.6,0,7.6,7.2,41,24,22,34,16,1023.5,1021.2,8,8,18.3,26.6,No,No,Desert,Otoño
6,14.8,4.8,4.2,8.2,59,30,26,69,56,1010.4,1013.1,4,5,10.6,13.1,Yes,Yes,Grassland,Primavera
7.6,23.5,0,7.2,13.4,37,13,20,68,43,1024.3,1022.2,0,0,14.8,22.5,No,No,Temperate,Verano
17.3,23.9,0,4.8,2.7,28,19,19,84,64,1024.3,1022.9,8,5,19.1,23.1,No,Yes,Subtropical,Otoño
5,18.5,0.2,4.2,9.2,33,19,20,59,43,1023.5,1022.2,8,5,12.5,17.7,No,No,Temperate,Primavera
5.9,17,0,4,10,54,30,31,47,34,1018.8,1015.8,1,1,10.4,16.4,No,No,Subtropical,Invierno
1.9,14.2,0,3,1.2,22,7,9,69,43,1025.7,1023.8,7,8,6.5,13.6,No,No,Subtropical,Invierno
22.2,30.1,0,9.6,10.8,37,13,28,62,58,1011.7,1008.8,1,2,26.9,29.2,No,No,Temperate,Verano
14.6,20.4,3.4,2.6,9.8,50,28,31,72,60,1014.1,1013.4,1,1,18.4,19.8,Yes,No,Subtropical,Primavera
10.6,21.5,0.4,0.8,7.1,31,17,15,82,50,1026.2,1021,8,7,14.1,20.9,No,No,Grassland,Invierno
14.5,28.1,0,4.6,8.9,48,2,13,62,50,1014.7,1010.5,1,1,21.2,26.1,No,No,Subtropical,Invierno
21.5,31.5,0.8,6,8.9,39,15,20,72,41,1018.2,1014.3,3,3,26.8,29.9,No,Yes,Temperate,Primavera
17.1,21.1,4.2,4.2,6.4,80,37,31,71,71,1002.4,1002.1,6,5,19.5,18.3,Yes,Yes,Subtropical,Invierno
5.3,19.4,0,6.2,10.2,72,19,35,67,28,1018.4,1013,1,1,12.7,19.1,No,No,Desert,Invierno
18.9,27.9,0,4.8,10.4,33,20,11,66,70,1008.2,1008.1,1,1,24.8,27.3,No,No,Subtropical,Otoño
22.2,30,0,6.2,8.3,43,13,28,59,65,1017.5,1014,3,7,27.4,26.2,No,Yes,Temperate,Primavera
11.8,17.3,0,1.8,2.2,17,7,7,71,54,1022.5,1020,7,7,13.4,16.5,No,No,Temperate,Otoño
18.5,26.3,6,12,0.3,35,20,22,82,67,1011.7,1009.6,7,7,19.5,25.1,Yes,No,Grassland,Verano
18.7,38.9,0,12,11.5,56,22,20,21,9,1006.5,1002.9,3,3,27.9,37.3,No,No,Desert,Verano
13.7,18.9,0.2,5.2,8.6,39,17,24,68,59,1025.1,1024.4,8,8,14.7,17.9,No,No,Temperate,Verano
10.9,27.1,0,6.6,10.7,28,13,20,67,28,1017.5,1013,1,6,19.2,26.1,No,No,Subtropical,Primavera
23.2,32.2,0,7.4,10.4,37,17,22,71,54,1013.3,1009.2,1,2,28.1,31.2,No,No,Temperate,Otoño
11.2,18.2,2,2.4,6.8,57,35,20,65,71,1010,1011.9,2,7,15,15.3,Yes,Yes,Temperate,Otoño
19,29.7,0,6.6,10.1,35,17,24,60,59,1016.9,1013.7,1,3,26.1,27.9,No,No,Temperate,Primavera
21.5,25.5,3.8,0.4,1.2,61,31,26,98,90,1003.1,1005.4,8,7,23,25.2,Yes,Yes,Subtropical,Verano
14.1,27.9,0,8.6,13.2,41,15,28,46,47,1022.3,1019,0,1,20.9,23.7,No,No,Subtropical,Verano
11,25.6,0,4.6,9.7,30,6,20,69,55,1018.8,1015.8,1,1,21.2,24.9,No,No,Temperate,Invierno
4.3,16.5,0,3.4,8.7,41,7,20,59,50,1015.9,1013.5,1,5,10.4,14.9,No,No,Temperate,Invierno
9.7,19.4,0,4.6,10.7,28,11,17,58,32,1024.1,1021.5,1,0,13.4,18.7,No,No,Subtropical,Primavera
17.4,20.7,7.4,3.2,2.4,70,24,30,96,68,1012.9,1011.1,8,6,18.3,20.4,Yes,Yes,Subtropical,Invierno
19.6,30.1,0,6,10.6,44,4,22,62,54,1011.5,1007.4,3,3,24.9,28.9,No,No,Subtropical,Primavera
13.2,27.9,0,8,9.5,56,39,37,16,8,1015.4,1008.9,2,0,19.6,26.9,No,No,Desert,Primavera
17.7,40,0,9.4,13.1,48,24,20,40,26,1011.5,1006.8,3,5,26.9,38.3,No,No,Subtropical,Verano
19.9,27,0,4.8,3,35,19,13,72,93,1012.3,1010.3,6,8,22.6,21.4,No,Yes,Subtropical,Otoño
9.6,21.7,0,5.4,4.1,39,6,19,65,51,1019.2,1014.8,7,2,16.7,21.4,No,No,Temperate,Otoño
10.4,33.1,0,7.8,12.3,48,7,24,65,20,1015.6,1011.1,5,6,16.3,31.4,No,No,Temperate,Verano
-1.6,14.6,0,2,7.9,30,7,26,97,52,1024.2,1019.8,2,3,3.1,13.9,No,No,Temperate,Otoño
24.4,38.6,8.2,7.2,9.3,39,9,15,61,36,1005.4,1002.2,6,3,32,38,Yes,Yes,Temperate,Verano
21.6,32.9,0,9.6,9.9,59,28,15,58,40,1012.6,1008,3,4,24.9,32.9,No,No,Subtropical,Verano
11,23,0.2,3.2,5.4,19,2,7,68,58,1024.1,1021.3,7,7,17.9,20.6,No,No,Subtropical,Invierno
19.8,35.2,0,15.8,12.6,39,24,15,20,11,1014.9,1010.8,1,4,25,34.4,No,No,Grassland,Primavera
9.1,22.4,0,3.6,7.9,24,13,13,70,41,1025.7,1021.6,6,7,12.4,22,No,Yes,Temperate,Otoño
13,26.8,0,6.4,8.2,39,26,28,72,47,1019.9,1018.8,5,6,18.2,25.7,No,No,Temperate,Otoño
15.6,38.2,0,13.4,8.8,39,17,11,27,18,1009.2,1006.2,6,6,29.1,35.5,No,No,Temperate,Verano
5.3,16.1,0,4,9.8,48,30,26,47,29,1020.6,1018,1,1,8.4,15.2,No,No,Subtropical,Invierno
20.3,22.9,0,5,4.1,50,22,31,85,89,1017.8,1018.8,6,8,21.8,20.4,No,No,Subtropical,Otoño
12,21,4.8,2.8,5.7,54,13,31,88,66,1013.1,1013.2,1,3,14.9,18.7,Yes,Yes,Subtropical,Invierno
23,33.1,0,9,11.9,37,19,26,52,50,1013.4,1009.8,2,1,28.7,31,No,No,Temperate,Primavera
11.4,18.9,11.8,2.5,7.8,46,15,15,79,41,1019.6,1019.6,7,4,14.5,18.3,Yes,No,Subtropical,Invierno
10,25.2,0,2.8,11.2,33,22,6,33,16,1029.5,1025.7,1,0,17.7,24.8,No,No,Subtropical,Primavera
13.5,21.4,1,5.6,9.3,46,15,26,85,47,1016.7,1015.5,7,6,15.1,19.8,No,No,Temperate,Verano
19.3,26,0,9.6,8,50,15,26,61,52,1015.5,1014.5,5,2,21.6,24.9,No,No,Subtropical,Verano
4,23.4,0,4.6,11.3,22,15,11,59,27,1029.1,1023.8,0,0,14.8,22.6,No,No,Temperate,Primavera
18.1,26.6,0,4,10.4,39,19,28,68,53,1020.3,1016.9,2,2,22.8,25.8,No,No,Temperate,Invierno
12.1,20.9,0,4.8,10.4,37,9,17,27,38,1015.6,1015.6,1,0,19.7,19.8,No,No,Temperate,Otoño
21.9,29.1,0.2,5.4,6.7,39,19,15,72,70,1013.3,1011,7,7,26.3,27,No,Yes,Subtropical,Verano
4.7,20.2,0,3,6.4,37,9,17,77,76,1016.4,1015.2,1,7,10.6,17.4,No,Yes,Subtropical,Invierno
19.5,29.3,21.4,11,6.9,41,20,26,62,41,1008.3,1005.4,7,5,24.2,28.1,Yes,No,Subtropical,Verano
4.7,11.9,13.2,2.2,5.2,69,31,33,72,82,1018.6,1019.7,6,7,8.5,11.5,Yes,Yes,Temperate,Primavera
24,29.2,0,13.2,0.7,63,22,26,35,86,1009.3,1008.9,7,8,27.8,22,No,Yes,Temperate,Verano
7.3,14.2,0,4,10,65,22,37,46,47,1024.2,1022.2,1,1,11.2,14.1,No,Yes,Subtropical,Invierno
23.4,31.2,1.6,5.6,5.9,31,6,11,78,71,1008.1,1004.7,7,7,27.4,29.5,Yes,Yes,Temperate,Verano
21.9,23.5,3,2.6,0,63,35,37,91,89,1011.3,1012.1,7,7,23,23.4,Yes,Yes,Subtropical,Verano
6.7,26.2,0,5.2,10.6,28,4,17,35,10,1019.5,1016.7,0,0,16.7,25.4,No,No,Grassland,Invierno
15.5,27.2,0,5.8,10.9,37,19,30,53,30,1018.5,1015.3,1,1,22.7,25.4,No,No,Temperate,Invierno
18.4,27.9,0,13.4,10.7,54,28,22,28,10,1007.7,1005.3,0,0,21.5,27.6,No,No,Subtropical,Primavera
4,13,0,1.6,6.8,24,15,7,79,53,1022.7,1021.7,7,1,6.5,12.5,No,No,Temperate,Invierno
2.9,19.9,0,7.8,11.1,46,24,30,42,24,1022,1018.4,0,0,13.6,19.4,No,No,Subtropical,Primavera
13.2,28.2,0,9.8,12.5,48,13,17,53,20,1013.6,1011.1,0,3,17.1,26.9,No,No,Grassland,Verano
25.2,44.4,0,15.2,11.1,57,31,20,31,16,1005.1,1002.3,1,3,35.3,43.2,No,Yes,Grassland,Verano
9.4,15,5.2,0.2,2.1,28,7,11,94,72,1017.3,1015.3,7,7,10.7,14.4,Yes,No,Temperate,Otoño
25.4,32.7,0.4,5.4,9.3,39,15,26,67,65,1009.2,1006.3,5,4,29.5,30.6,No,Yes,Temperate,Primavera
18.2,23.1,10.2,2.4,0,22,7,4,93,88,1021.3,1019.3,8,7,20.1,20.5,Yes,Yes,Subtropical,Otoño
14.4,23.6,0,3.2,10.9,35,2,15,51,47,1020,1016.3,1,1,19.4,22.8,No,No,Temperate,Invierno
13.7,24.5,0,4.6,6.7,33,6,15,68,62,1020.5,1015.7,7,7,20.2,22.5,No,Yes,Subtropical,Primavera
18.9,34.2,0,8,10.3,33,7,13,40,20,1019.7,1017.1,6,4,25.2,33.1,No,No,Temperate,Otoño
9.8,23,0,4.8,11.5,31,15,17,58,46,1025.1,1021.5,1,0,15.9,21.2,No,No,Subtropical,Primavera
21.2,36.3,0,8,10.2,37,17,17,16,22,1015.1,1010.3,1,0,29.7,32.8,No,No,Temperate,Primavera
15.8,26.6,0,6.8,7.9,24,6,7,45,23,1015.2,1010.7,6,3,18.6,25.9,No,No,Subtropical,Primavera
19.1,28,0,8.6,9.9,35,7,19,62,58,1014.3,1013.6,7,1,25.4,25.3,No,No,Subtropical,Primavera
5.1,20.4,1.4,3.2,11.4,61,31,39,69,32,1020.8,1019.6,0,0,11.1,19.9,Yes,No,Temperate,Primavera
18.3,23.9,1,3.8,3,54,20,31,77,52,1008.4,1006.2,7,7,19.6,20.3,No,No,Temperate,Otoño
4.3,23.6,0,4.4,9.7,26,17,4,38,17,1030.3,1026.8,5,5,15,22.7,No,No,Subtropical,Otoño
18.7,26,0,5,12.7,37,19,20,60,59,1018.2,1017,2,4,23.1,24.2,No,No,Subtropical,Verano
23.5,31.9,0,10.4,11.8,41,17,28,54,58,1014.2,1011,3,3,29,29.5,No,No,Temperate,Primavera
14.2,22.7,0,3.2,5,37,15,13,67,66,1014,1013.1,4,7,20.1,20.2,No,Yes,Subtropical,Otoño
10.4,19.4,0,4,10.4,33,20,17,78,63,1025.6,1022.8,3,1,16.9,19,No,No,Subtropical,Invierno
19.9,30.9,0,8.8,11.5,35,13,15,29,36,1005.8,1005,7,1,20.7,29.5,No,No,Grassland,Verano
7.5,24.5,0,3,8.4,30,13,13,59,41,1021.1,1017.5,7,8,14.8,23.2,No,No,Subtropical,Invierno
13.9,26.2,0,8,12.4,52,11,28,58,40,1028.2,1023.2,0,1,19,25.4,No,No,Subtropical,Primavera
8.8,15,5.2,3.4,3.9,50,17,30,58,91,1024.3,1023.3,1,7,11.8,12.7,Yes,Yes,Subtropical,Invierno
8.4,29.3,0,7.6,11.6,31,15,19,28,19,1022.5,1017.8,0,0,21.6,28.8,No,No,Grassland,Primavera
15.7,19.1,2.4,4.4,9.1,74,35,48,82,71,1008.2,1005.6,7,1,17,17.9,Yes,Yes,Subtropical,Primavera
17.8,22.7,2,5.2,2.5,37,13,19,72,67,1013.3,1009.8,7,7,20.1,21.3,Yes,Yes,Subtropical,Primavera
9.4,20.2,0,10.6,10.7,48,24,30,56,22,1015.1,1015.7,2,4,13.4,18.6,No,No,Grassland,Primavera
10.3,21.6,0,1,3.4,26,6,20,75,53,1017.4,1015.5,7,7,14.5,20.2,No,No,Temperate,Otoño
0.8,16.2,0,1.2,9.2,15,7,6,80,49,1022.2,1022.1,1,1,7.2,15.7,No,No,Temperate,Invierno
28.6,35.5,0,9.4,11.7,54,17,37,64,62,1010.4,1006.5,1,1,31.5,33.1,No,Yes,Temperate,Primavera
4.4,11.6,12.8,2.8,4,30,9,20,85,72,1019.7,1020.4,7,7,6.7,11,Yes,No,Temperate,Invierno
13.6,20.1,36.8,6.8,2.2,76,35,41,81,77,1017.3,1016.3,7,7,16.4,19,Yes,Yes,Subtropical,Invierno
17.1,26,0,8,10.1,48,22,37,57,51,1024.5,1019.3,1,2,22.1,24.6,No,No,Subtropical,Primavera
15.1,28.8,0,10.2,11.1,37,13,19,47,17,1022.2,1020.3,2,5,18.1,27.1,No,No,Temperate,Otoño
20.9,28.8,0,5.2,9.2,37,17,30,72,65,1011.9,1009.5,2,7,25.5,27.6,No,No,Temperate,Otoño
15.8,23.2,14,2.2,9.7,41,20,19,75,68,1010.5,1005.8,4,4,19.3,21.6,Yes,No,Subtropical,Otoño
17,25.7,0.6,4.2,6.6,20,6,9,65,58,1017.7,1014.3,7,7,19.1,22.4,No,No,Temperate,Verano
20.1,26.6,0.4,4.2,6,39,20,17,74,60,1018.6,1016.9,7,4,21.2,25.7,No,No,Subtropical,Verano
26.7,34.4,0.4,4.8,8.8,31,17,7,65,53,1005.3,1002.3,7,7,30.6,33.6,No,No,Temperate,Otoño
6,18.8,0,2.6,9,28,7,11,78,48,1031.8,1029.4,1,1,11.9,18.4,No,No,Grassland,Otoño
20.7,34.6,0,6.8,11.3,35,19,20,38,45,1013.4,1009.6,1,1,24.9,31.4,No,No,Temperate,Invierno
5.8,21,0.2,10.2,9.7,28,17,2,71,56,1031.6,1027.8,1,3,12.8,20.2,No,No,Subtropical,Invierno
15.1,24.7,0,1.8,5.3,37,4,17,72,79,1013.8,1009.1,7,7,20.4,20.4,No,Yes,Subtropical,Invierno
13.3,21.9,0,5,13.4,43,19,24,50,43,1019.7,1018.8,3,1,16.8,20.6,No,No,Temperate,Verano
16.9,22.1,1,5.6,11.3,91,67,31,40,32,1007.6,1009.9,1,1,18.8,21,No,No,Subtropical,Primavera
21.6,25.1,10,11.4,0,81,31,17,91,88,1011.6,1011.9,8,7,22,22.9,Yes,Yes,Temperate,Verano
7.5,24.9,0,3.8,9.7,52,20,31,55,25,1028.9,1023.9,0,1,13.5,24.2,No,No,Desert,Otoño
22.2,38.7,0,13.2,13.1,46,11,24,32,24,1011.4,1007.9,0,0,30.3,35.8,No,No,Subtropical,Verano
25.6,30.1,5.2,5.2,0.7,46,11,13,80,81,996.4,993.7,6,7,28.5,28.3,Yes,Yes,Temperate,Verano
15.1,23.2,0,8.4,0.6,41,17,6,40,91,1007.6,1006.5,8,8,20.4,16.7,No,Yes,Temperate,Primavera
20.1,29.8,0,7.8,5.4,57,22,13,61,43,1013.6,1009.7,7,6,22.5,28.8,No,Yes,Subtropical,Verano
7.5,16.1,4.4,3,6.3,44,26,24,60,52,1025.8,1022.9,6,6,9.9,13.7,Yes,No,Subtropical,Invierno
10.6,24.8,0,4.2,10.4,31,9,17,83,57,1019.8,1017,4,5,13.9,21.5,No,No,Temperate,Verano
11.6,24.6,0.2,5.4,12.7,41,19,17,59,33,1013,1011.5,5,7,15.8,21.3,No,No,Grassland,Verano
21.5,36.6,0,7.6,4,72,15,15,73,30,1007.3,1004.2,7,7,25.8,33.2,No,No,Subtropical,Verano
12.9,20.9,0,5.6,4.7,28,13,15,54,37,1020.6,1019,7,8,15.3,19.9,No,No,Grassland,Otoño
9,26.1,0,3.6,10.4,22,13,13,58,25,1021.6,1018,0,0,15.3,25.9,No,No,Grassland,Otoño
21.4,30,0,6.6,9.6,31,11,17,68,63,1012.6,1007.1,2,1,26,27.7,No,No,Temperate,Primavera
10,17.8,0.6,4.6,2.4,39,19,17,82,46,1014.3,1016.6,6,7,12.5,17.6,No,No,Temperate,Otoño
12.3,20.2,31.6,4.8,5.5,31,7,19,96,56,1017.6,1015.5,8,2,14,19.6,Yes,Yes,Subtropical,Invierno
10.7,35.4,0,9.8,12.8,41,19,17,6,3,1013.6,1009.7,0,1,26.5,34.1,No,No,Grassland,Primavera
12.9,23.1,4.4,0.4,8.1,17,4,7,86,70,1025.6,1022,4,2,17.6,21.5,Yes,No,Subtropical,Invierno
2,11,0,1.4,8,28,15,15,85,54,1027.1,1025.4,1,2,3.9,10.8,No,No,Temperate,Invierno
11.7,32,0,8.6,10.7,43,9,20,72,35,1015,1010.6,0,4,17.3,29.9,No,Yes,Temperate,Verano
22.1,27.6,68.2,8.8,0,35,9,13,96,93,1005,1003,8,8,24.1,24.8,Yes,Yes,Temperate,Verano
3.3,15.4,0,1.6,8.6,28,13,15,94,53,1029.8,1027.1,1,4,6.2,14.7,No,No,Grassland,Invierno
2.7,21.8,0,5.2,11,43,4,17,33,17,1025.6,1021.2,0,0,12.7,21.1,No,No,Grassland,Invierno
11.4,31.1,0,9.4,12.7,37,17,9,38,17,1022.7,1018.3,1,1,20,30.2,No,No,Subtropical,Primavera
9,16.7,18.8,2.2,3.1,48,15,30,97,67,1018.5,1018.1,7,6,9.7,15.1,Yes,Yes,Subtropical,Invierno
5,24.2,0,5.2,11.5,24,13,9,53,26,1034,1028.4,0,0,15.5,23.2,No,No,Grassland,Primavera
8.7,27.2,0,4.4,11,41,9,33,54,49,1016.8,1014.1,0,0,21.3,24.2,No,No,Temperate,Invierno
23.7,33.1,2.6,9.4,9.8,46,24,26,71,47,1013.1,1009.5,4,5,26.3,31.2,Yes,Yes,Temperate,Otoño
20.4,30.5,0,5,11,44,26,9,42,36,1014.7,1011.2,1,1,23.6,29.8,No,No,Temperate,Invierno
9.1,13.2,2.4,0.6,5.5,37,13,15,76,85,1027.8,1027.6,6,7,11.1,11.8,Yes,Yes,Temperate,Otoño
25.4,31.3,0,4,2.6,37,6,11,72,85,1008.1,1005.3,7,7,29.9,28.5,No,Yes,Temperate,Primavera
15.7,20.9,0.4,3.4,3.5,33,15,13,49,54,1024.9,1022.9,7,7,18.6,18.7,No,No,Subtropical,Otoño
12.9,18.3,0.8,2.8,2.6,33,13,17,59,56,1025.2,1022.8,7,6,15.8,16.8,No,No,Subtropical,Invierno
2.3,16.8,0,3,4,67,20,22,48,47,1005.8,999,3,7,10.7,16.5,No,Yes,Temperate,Invierno
12.4,19.9,0.2,6.8,0.2,48,17,7,50,53,1013.6,1010.9,8,8,13.9,18.8,No,No,Temperate,Primavera
9.5,16.4,1.8,1.4,4.9,44,13,17,69,57,1020.4,1022.1,7,5,15.9,16,Yes,Yes,Subtropical,Invierno
5.8,9.7,0,0.6,0,44,22,20,80,81,1013.8,1008.7,8,8,7.2,9.1,No,Yes,Temperate,Invierno
6.6,14.4,0.8,2,2,46,17,17,86,72,1021.6,1021.9,8,7,11.2,13.3,No,No,Temperate,Primavera
7.7,17.5,17.4,7.6,10.6,52,26,24,59,33,1022.8,1023,3,4,10.9,15.4,Yes,No,Temperate,Primavera
13.5,31.9,0,5.2,10.7,28,15,19,72,42,1020.9,1019,3,1,20.7,30.1,No,No,Subtropical,Otoño
18.8,31.4,0,6.2,10.6,26,13,15,65,54,1013.6,1010,2,3,25.1,29.7,No,No,Temperate,Otoño
14.5,17.4,0,4,7.4,43,22,22,59,60,1022.3,1021.1,6,6,16.1,15.6,No,No,Subtropical,Invierno
20.6,30.8,0,20.6,8.9,43,13,26,64,52,1020,1016.8,5,7,25,29.6,No,No,Subtropical,Otoño
1.7,13.2,3.6,1.6,6.4,30,4,6,87,55,1021.6,1022.3,5,1,7.8,12.1,Yes,No,Temperate,Invierno
9.4,18.5,0,5,8.2,35,7,24,58,43,1012.6,1007.4,7,4,12.8,17.4,No,No,Subtropical,Invierno
7.5,15.9,0,2.2,2.1,57,17,20,65,52,1018.6,1014.3,7,7,11.5,15.4,No,No,Temperate,Invierno
21.4,30.1,14.8,4.4,10.7,48,28,33,66,49,1016.4,1013,2,1,27.3,28.7,Yes,No,Temperate,Primavera
